"","country_id","Project ID","Country_original","Region","Lending Instrument","Level of Education","Focus area","Topic","Chain Position","DLI","DLI/DLR","Value of DLI (in mln)","Value of DLR (mln)","Share of total RBF for DLI","Scalability","Formula/Calculation","Verification agency type","Verification source","Restructuring","Fiscal Year","Country","region_id","region_name","income_id","income_name"
"1","AFG","P173314","Afghanistan","AFR","IPF/DLIs","Primary and Secondary Education","Education_Access_and_Equity","Education and Gender","Intermediate Outcome","PBCT 10.2: Protocols and systems to report and respond to 
GBV and SEAH incidents at schools is established 
through consultations with students, teachers, 
and parents in schools to identify preference for 
safe, child-friendly referral channels.","PBC",0.5,0.5,0,"No",NA,"Third party","MoE report","No",2021,"Afghanistan","SAS","South Asia","LIC","Low income"
"2","AFG","P173314","Afghanistan","AFR","IPF/DLIs","Primary and Secondary Education","Education_Governance_School_Based_Management","EMIS","Process","PBCT 3.2: On-line tool developed for school level data 
entry into EMIS; Training of trainers for data 
collection and entry into EMIS completed; 
Outreach and capacity building of principals and 
school shuras to prepare for monthly data 
collection completed","PBC",3,3,0,"No",NA,"Third party","MOE","No",2021,"Afghanistan","SAS","South Asia","LIC","Low income"
"3","AFG","P173314","Afghanistan","AFR","IPF/DLIs","Primary and Secondary Education","Education_Access_and_Equity","Education and Gender","Intermediate Outcome","PBC 10: Implementation of GBV action plan","PBC",1,1,0,"No",NA,"Third party","MoE report","No",2021,"Afghanistan","SAS","South Asia","LIC","Low income"
"4","AFG","P173314","Afghanistan","AFR","IPF/DLIs","Primary and Secondary Education","Education_Governance_School_Based_Management","Results-based Management","Process","PBCT 6.2: 2019 Annual results-based reports completed 
per template, submitted by MOE for fifteen (15) 
PEDs and related DEDs, and published on MOE’s 
website","PBC",1,1,0,"No",NA,"Third party","MOE, PED, DED","No",2021,"Afghanistan","SAS","South Asia","LIC","Low income"
"5","AFG","P159378","Afghanistan","SAR","IPF/DLIs","Primary and Secondary Education","Education_Financing","Budget","Process","DLR 7.4: By February 2021, progress on results toward  2020 annual plan reported as per template; and  by June 2021, 2022 annual operational plan  developed with budget codes specified for on  budget‐ projected off‐budget allocations for  2022 completed as per the template and  endorsed by Development Partners. ","DLR",1,1,0,"No","Full amount upon achievement of target ","Third party"," TPVA reviews MOE operational plans and  reports to verify: (a) progress on results toward  2020 annual plan reported, per template by  February 2021; (b) Annual operations plan based  on actual on‐budget allocation and projected off‐ budget allocations for 2022 completed and  endorsed by DPs as per the template by June  2021","No",2019,"Afghanistan","SAS","South Asia","LIC","Low income"
"6","AFG","P173314","Afghanistan","AFR","IPF/DLIs","Primary and Secondary Education","Education_Access_and_Equity","Education and Gender","Intermediate Outcome","PBCT 10.1: The relevant MoE staff, teachers, principals and 
students, and school management Shuras 
trained on GBV protocols and reporting systems","PBC",0.5,0.5,0,"No",NA,"Third party","MoE report","No",2021,"Afghanistan","SAS","South Asia","LIC","Low income"
"7","AFG","P173314","Afghanistan","AFR","IPF/DLIs","Primary and Secondary Education","Teachers","Teacher Recruitment and Deployment","Intermediate Outcome","PBCT 4.1: Teacher Policy comprising step-by-step 
procedures for prioritization, needs-based 
allocation, and criteria for redeployment of 
teachers developed","PBC",5,5,0,"No",NA,"Third party","TEMIS, MOE, Civil Service Commission database","No",2021,"Afghanistan","SAS","South Asia","LIC","Low income"
"8","AFG","P173314","Afghanistan","AFR","IPF/DLIs","Primary and Secondary Education","Education_Governance_School_Based_Management","EMIS","Process","PBCT 3.3: MoU Between the MoE and NSIA on improving 
EMIS signed and an action plan for the 
implementation of the aforementioned MoU 
developed and endorsed by both MoE and NSIA","PBC",1,1,0,"No",NA,"Third party","MOE","No",2021,"Afghanistan","SAS","South Asia","LIC","Low income"
"9","AFG","P173314","Afghanistan","AFR","IPF/DLIs","Primary and Secondary Education","Teachers","Teacher Performance Assessment","Intermediate Outcome","PBC 1: Improved teaching quality rating based on classroom observations","PBC",12.5,12.5,0,"No",NA,"Third party","Private Firm","No",2021,"Afghanistan","SAS","South Asia","LIC","Low income"
"10","AFG","P173314","Afghanistan","AFR","IPF/DLIs","Primary and Secondary Education","Education_Governance_School_Based_Management","EMIS","Process","PBCT 3.1: A call center established within MOE and 
operational protocols for managing monthly 
phone surveys to schools for EMIS data 
collection established in consultation with local 
stakeholders","PBC",3,3,0,"No",NA,"Third party","MOE","No",2021,"Afghanistan","SAS","South Asia","LIC","Low income"
"11","AFG","P173314","Afghanistan","AFR","IPF/DLIs","Primary and Secondary Education","Education_Governance_School_Based_Management","Results-based Management","Process","PBCT 6.1 By December 2018, standard templates for 
annual results reporting developed","PBC",2,2,0,"No",NA,"Third party","MOE, PED, DED","No",2021,"Afghanistan","SAS","South Asia","LIC","Low income"
"12","AFG","P173314","Afghanistan","AFR","IPF/DLIs","Primary and Secondary Education","Education_Governance_School_Based_Management","Results-based Management","Process","PBCT 6.3: 2020 Annual results-based reports completed 
per template, submitted by MOE for all PEDs and 
DEDs, and published on MOE’s website","PBC",0.6,0.6,0,"No",NA,"Third party","MOE, PED, DED","No",2021,"Afghanistan","SAS","South Asia","LIC","Low income"
"13","AFG","P173314","Afghanistan","AFR","IPF/DLIs","Primary and Secondary Education","Education_Governance_School_Based_Management","Results-based Management","Process","PBCT 6.4: 2021 Annual results-based reports completed 
per template, submitted by MOE for all PEDs and 
DEDs, and published on MOE’s website","PBC",0.3,0.3,0,"No",NA,"Third party","MOE, PED, DED","No",2021,"Afghanistan","SAS","South Asia","LIC","Low income"
"14","AFG","P159378","Afghanistan","SAR","IPF/DLIs","Primary and Secondary Education","Teachers","Teacher Recruitment and Deployment","Intermediate Outcome","DLR 4.1: Teachers  policy  comprising  step‐by‐step  procedures  for  prioritization, needs-based  allocation, and  criteria for redeployment of Teachers developed","DLR",5,5,0,"No","Full amount upon   achievement of target ","Third party","TPVA will  review  the  Teachers  policy  and  verify  that  it  sufficiently  describes  step‐by‐step  procedures for prioritization and needs including  criteria  for  allocation  of  new  hires  and  redeployment of existing Teachers.","No",2019,"Afghanistan","SAS","South Asia","LIC","Low income"
"15","AFG","P159378","Afghanistan","SAR","IPF/DLIs","Primary and Secondary Education","Teachers","Teacher Performance Assessment","Intermediate Outcome","DLR 1.2: Teaching quality raiting, based on TEACH classroom observation method, increased by 0.4 standard deviations or more among samples Teachers  compared to the baseline. ","DLR",7.5,7.5,0,"No","Full amount upon achievement of target ","Third party","TPVA reviews the  results of the analysis and underlying data and  conducts site visits and interviews with relevant  staff in a sample of schools ","No",2019,"Afghanistan","SAS","South Asia","LIC","Low income"
"16","AFG","P159378","Afghanistan","SAR","IPF/DLIs","Primary and Secondary Education","Education_Financing","Budget","Process","DLR 7.2: By February 2019, progress on results toward  2018 annual plan reported as per template by  MoE; and by June 2019, annual operational plan  based on actual on‐budget allocations and  projected off‐budget allocations for 2020  completed as per the template and endorsed by  Development Partners. ","DLR",1,1,0,"No","Full amount upon   achievement of target ","Third party"," TPVA reviews MoE operational plans and  reports to verify: (a) progress on results toward  2018 annual plan reported by February 2019; and  (b) annual operational plan based on actual on‐ budget allocation and projected off‐budget  allocations for 2020 completed and endorsed by  DPs as per the template by June 2019","No",2019,"Afghanistan","SAS","South Asia","LIC","Low income"
"17","AFG","P159378","Afghanistan","SAR","IPF/DLIs","Primary and Secondary Education","Teachers","Teacher Performance Assessment","Intermediate Outcome","DLI 1: Teaching quality rating based on classroom observations","DLI",15,0,0.00716674629718108,"No","Full amount upon achievement of target ","Third party","Varies by DLR","No",2019,"Afghanistan","SAS","South Asia","LIC","Low income"
"18","AFG","P173314","Afghanistan","AFR","IPF/DLIs","Primary and Secondary Education","Teachers","Teacher Recruitment and Deployment","Intermediate Outcome","PBC 4: Development and implementation of a teacher policy for prioritization in the hiring and allocation of teachers based on need","PBC",8,8,0,"No",NA,"Third party","TEMIS, MOE, Civil Service Commission database","No",2021,"Afghanistan","SAS","South Asia","LIC","Low income"
"19","AFG","P173314","Afghanistan","AFR","IPF/DLIs","Primary and Secondary Education","Teachers","Teacher Performance Assessment","Output","PBCT 9.2: Completion of baseline data collection of teacher 
training","PBC",0.5,0.5,0,"No",NA,"Third party","MoE TED","No",2021,"Afghanistan","SAS","South Asia","LIC","Low income"
"20","AFG","P159378","Afghanistan","SAR","IPF/DLIs","Primary and Secondary Education","Standards_Curriculum_and_Textbooks","Textbooks","Output","DLI 2: Existing textbooks distributed and teaching and learning materials for the new curriculum developed for all  grades","DLI",20,0,0.00955566172957477,"Yes","as per DLR formulas below","Third party","Varies by DLR","No",2019,"Afghanistan","SAS","South Asia","LIC","Low income"
